recruitment_id,department,job_title,num_applicants,time_to_hire_days,cost_per_hire,source,offer_acceptance_rate
1,Engineering,Software Engineer,280,24,1400.38,Referral,0.98
2,Sales,Account Executive,262,7,2730.45,LinkedIn,0.84
3,Product,UX Designer,11,76,5286.12,LinkedIn,0.83
4,Engineering,DevOps Engineer,238,26,5255.78,Recruiter,0.49
5,HR,Talent Acquisition,275,37,4987.03,LinkedIn,0.79
6,Marketing,Marketing Specialist,150,24,3679.99,LinkedIn,0.82
7,Finance,Accountant,200,23,7261.14,Recruiter,0.89
8,HR,HR Coordinator,278,38,9435.37,Recruiter,0.84
9,HR,Recruitment Specialist,221,69,5665.47,Job Portal,0.56
10,Sales,Business Development Manager,249,62,8363.04,Recruiter,0.6
11,Sales,Sales Associate,10,48,6363.54,Referral,0.95
12,Product,UX Designer,184,84,793.95,Recruiter,0.57
13,HR,Recruitment Specialist,116,75,1830.5,Job Portal,0.61
14,Product,UX Designer,258,69,8848.38,LinkedIn,0.34
15,Engineering,Backend Developer,27,65,5021.34,Job Portal,0.82
16,Marketing,Marketing Specialist,265,77,7864.88,Recruiter,0.54
17,HR,Recruitment Specialist,227,22,8432.99,Recruiter,0.39
18,Finance,Finance Manager,281,13,5662.71,Referral,0.95
19,Marketing,Marketing Specialist,196,63,519.34,Referral,0.63
20,Product,Product Manager,52,26,7115.17,Job Portal,0.48
21,Marketing,Social Media Manager,299,64,9648.83,Job Portal,0.51
22,Finance,Finance Manager,70,14,5604.18,LinkedIn,0.94
23,Sales,Account Executive,245,87,8440.43,Job Portal,0.69
24,Finance,Accountant,17,79,3660.04,Recruiter,0.69
25,Sales,Account Executive,101,55,1777.5,Referral,0.37
26,Sales,Business Development Manager,185,53,3145.3,LinkedIn,0.52
27,Marketing,Content Strategist,130,65,4652.49,Recruiter,0.72
28,Sales,Account Executive,28,21,8336.57,LinkedIn,0.4
29,Marketing,SEO Analyst,222,17,6441.47,Recruiter,0.71
30,Engineering,DevOps Engineer,111,83,2318.84,LinkedIn,0.41
31,Finance,Financial Analyst,24,30,2820.97,Recruiter,0.65
32,Finance,Financial Analyst,40,75,7971.68,Recruiter,0.61
33,Sales,Sales Representative,108,34,6813.35,LinkedIn,0.48
34,Sales,Business Development Manager,209,29,2265.79,Job Portal,0.59
35,Engineering,Software Engineer,213,8,6447.68,Referral,0.82
36,Product,UI Designer,124,83,9254.79,LinkedIn,0.52
37,Engineering,DevOps Engineer,231,20,5881.12,LinkedIn,0.58
38,Product,Product Analyst,179,30,1319.81,LinkedIn,0.73
39,Marketing,Marketing Specialist,91,14,7482.82,Referral,0.87
40,Product,UI Designer,246,59,9385.2,Recruiter,0.53
41,HR,HR Coordinator,40,65,5797.19,Recruiter,0.43
42,Product,UX Designer,120,7,5864.62,Recruiter,0.98
43,Engineering,Data Engineer,281,74,9129.02,Job Portal,0.31
44,Engineering,Software Engineer,245,29,3176.23,Recruiter,0.72
45,Finance,Payroll Specialist,69,84,3785.09,Referral,0.58
46,Finance,Financial Analyst,80,26,3810.88,Referral,0.3
47,Engineering,Software Engineer,152,23,3350.18,LinkedIn,0.63
48,Engineering,Data Engineer,130,45,1797.79,Recruiter,0.73
49,Finance,Accountant,129,85,6359.04,Recruiter,0.87
50,Engineering,Data Engineer,84,35,4908.41,Job Portal,0.53
51,Engineering,Backend Developer,211,57,3834.6,Referral,0.94
52,HR,Talent Acquisition,131,76,8040.26,LinkedIn,0.99
53,Product,UX Designer,102,65,8976.4,Job Portal,0.72
